"estado";"coduf";"month";"casosNovos";"obitosNovos"
"MS";50;2020-02-01;0;0
"MS";50;2020-03-01;96;2
"MS";50;2020-04-01;414;16
"MS";50;2020-05-01;2468;22
"MS";50;2020-06-01;12952;112
"MS";50;2020-07-01;33942;600
"MS";50;2020-08-01;48002;972
"MS";50;2020-09-01;41538;882
"MS";50;2020-10-01;25276;578
"MS";50;2020-11-01;33434;354
"MS";50;2020-12-01;69400;1120
"MS";50;2021-01-01;54520;1160
"MS";50;2021-02-01;41014;820
"MS";50;2021-03-01;68140;1916
"MS";50;2021-04-01;65174;2882
"MS";50;2021-05-01;85080;2194
"MS";50;2021-06-01;89372;2778
"MS";50;2021-07-01;41102;1468
"MS";50;2021-08-01;25238;864
"MS";50;2021-09-01;8672;370
"MS";50;2021-10-01;7092;182
"MS";50;2021-11-01;4678;76
"MS";50;2021-12-01;3206;88
"MS";50;2022-01-01;85678;300
"MS";50;2022-02-01;156594;900
"MS";50;2022-03-01;45486;348
"MS";50;2022-04-01;9914;52
"MS";50;2022-05-01;10802;82
"MS";50;2022-06-01;30410;114
"MS";50;2022-07-01;30148;162
"MS";50;2022-08-01;25656;192
"MS";50;2022-09-01;6482;64
"MS";50;2022-10-01;2632;16
"MS";50;2022-11-01;5028;24
"MS";50;2022-12-01;16778;96
"MS";50;2023-01-01;19802;158
"MS";50;2023-02-01;8492;56
"MS";50;2023-03-01;3786;30
"MS";50;2023-04-01;4876;22
"MS";50;2023-05-01;2310;32
"MS";50;2023-06-01;1202;14
